Non-sports spread census  2026-08-16T00:06:41.541000+00:00
==============================================================================
events: 281 sports, 9888 non-sports
CONTROL median half-spread (sports, median of per-series medians): 10.0 tenths
  from 19 sports series with >= 5 readable markets

series                          n    half   ratio  verdict
KXSBUXA                        22    42.5    4.25  DEAD
KXFRPRESBALLOT                 22    30.0    3.00  DEAD
KXNFLOPOTY                     22     5.0    0.50  WORTH A FAIR VALUE
KXNFLH2HWINS                   22    32.5    3.25  DEAD
KXNCAAFUNDEFEATED              22    35.0    3.50  DEAD
KXCOPPERD                      22    20.0    2.00  UNRESOLVED
KXUFCMOF                       22    20.0    2.00  UNRESOLVED
KXNASCARTOP3                   22   105.0   10.50  DEAD
KXNFL1HTOTAL                   22    87.5    8.75  DEAD
KXMETAA                        21    45.0    4.50  DEAD
KXCMGA                         21    50.0    5.00  DEAD
KXDFBPOKAL                     21     5.0    0.50  WORTH A FAIR VALUE
KXKNVBCUP                      21   380.0   38.00  DEAD
KXTLNA                         21    50.0    5.00  DEAD
KXLEADERNFLRUSHYDS             21     5.0    0.50  WORTH A FAIR VALUE
KXLEADERNFLPTDS                21    45.0    4.50  DEAD
KXNCAAFH2HWINS                 21   135.0   13.50  DEAD
KXUSACOMPANYSTAKE              21    15.0    1.50  WORTH A FAIR VALUE
KXTRUMPCOUNTRIES               21     9.5    0.95  WORTH A FAIR VALUE
KXROGANGUEST                   21    40.0    4.00  DEAD
KXMLSCUP                       21     5.0    0.50  WORTH A FAIR VALUE
KXMLBAWARDFIN                  21    90.0    9.00  DEAD
KXMLB                          21     1.0    0.10  WORTH A FAIR VALUE
KXTRUMPMEET                    21    55.0    5.50  DEAD
KXUST2AM                       21    95.0    9.50  DEAD
KXBUNDESLIGAGAME               21    65.0    6.50  DEAD
KXCANPLGAME                    21   385.0   38.50  DEAD
KXCHLLDPGAME                   21    10.0    1.00  WORTH A FAIR VALUE
KXSRBSLGAME                    21    50.0    5.00  DEAD
KXSVNPLGAME                    21    50.0    5.00  DEAD
KXEGYPLGAME                    21    40.0    4.00  DEAD
KXUAEPLGAME                    21    45.0    4.50  DEAD
KXKLEAGUEGAME                  21    35.0    3.50  DEAD
KXLIGAEXPGAME                  21    35.0    3.50  DEAD
KXWTIW                         21    10.0    1.00  WORTH A FAIR VALUE
KXUCLGAME                      21     5.0    0.50  WORTH A FAIR VALUE
KXVALORANTTOTALMAPS            21   400.0   40.00  DEAD
KXURYPDTOTAL                   21    25.0    2.50  UNRESOLVED
KXCABOUT                       20     5.0    0.50  WORTH A FAIR VALUE
POPVOTEMOV                     20     5.0    0.50  WORTH A FAIR VALUE
KXTACAPORT                     20    40.0    4.00  DEAD
KXNEXTTEAMMLB                  20    50.0    5.00  DEAD
KXGOOG                         20    45.0    4.50  DEAD
KXSUPERBOWLAD                  20    35.0    3.50  DEAD
KXLEADERNFLSACKS               20    12.5    1.25  WORTH A FAIR VALUE
KXLEADERNFLPYDS                20    10.0    1.00  WORTH A FAIR VALUE
KXNFLTEAMPTS                   20    32.5    3.25  DEAD
KXNFL1SEED                     20     7.5    0.75  WORTH A FAIR VALUE
KXVENUEPERFORMANCEYE           20    25.0    2.50  UNRESOLVED
KXWTIMIN                       20    45.0    4.50  DEAD
KXWEEKSNUM1                    20    20.0    2.00  UNRESOLVED
KXDDR5WS                       20    65.0    6.50  DEAD
KXBOXING                       20    12.5    1.25  WORTH A FAIR VALUE
KXATP                          20     5.0    0.50  WORTH A FAIR VALUE
KXVFILMFESTIVAL                20    30.0    3.00  DEAD
KXWARSHMENTION                 20    10.0    1.00  WORTH A FAIR VALUE
KXH100MON                      20    40.0    4.00  DEAD
KXB200MON                      20    67.5    6.75  DEAD
KXBRENTMON                     20    10.0    1.00  WORTH A FAIR VALUE
KXGRECUPADVANCE                20   385.0   38.50  DEAD
KXKBOGAME                      20    42.5    4.25  DEAD
KXBRENTD                       20    15.0    1.50  WORTH A FAIR VALUE
KXLIGAMXFTTS                   20    40.0    4.00  DEAD
KXDIMAYORSPREAD                20   302.5   30.25  DEAD
KXARGPREMDIVSPREAD             20    17.5    1.75  UNRESOLVED
KXMLBOUTS                      20   190.0   19.00  DEAD
KXEKSTRAKLASASPREAD            20    82.5    8.25  DEAD
KXELITESERIENSPREAD            20    15.0    1.50  WORTH A FAIR VALUE
KXALLSVENSKANSPREAD            20    15.0    1.50  WORTH A FAIR VALUE
KXDOTA2MAP                     20    15.0    1.50  WORTH A FAIR VALUE
KXNFL4QTOTAL                   20    55.0    5.50  DEAD
KXNFL4QSPREAD                  20    87.5    8.75  DEAD
KXNFL3QTOTAL                   20    47.5    4.75  DEAD
KXNFL3QSPREAD                  20    70.0    7.00  DEAD
KXUKCOALITION                  19    27.5    2.75  UNRESOLVED
KXNBARETIRE                    19    40.0    4.00  DEAD
KXMEDIACOVERSI                 19     5.0    0.50  WORTH A FAIR VALUE
KXHEADLINE                     19    30.0    3.00  DEAD
KXNFLOROTY                     19     5.0    0.50  WORTH A FAIR VALUE
KXRANKLISTFFRB                 19     5.0    0.50  WORTH A FAIR VALUE
KXNCAAFAPANY                   19    90.0    9.00  DEAD
KXNFLTEAMDPTS                  19    15.0    1.50  WORTH A FAIR VALUE
KXROLEINPRODUCTIONDOOMSDAY     19    10.0    1.00  WORTH A FAIR VALUE
KXWBCMIDDLEWEIGHTTITLE         19   470.0   47.00  DEAD
KXTOUR                         19    35.0    3.50  DEAD
KXSTARSHIPSPACE                19    20.0    2.00  UNRESOLVED
KXGOOGLESEARCH                 19    25.0    2.50  UNRESOLVED
KXINXY                         19     5.0    0.50  WORTH A FAIR VALUE
KXRANKLISTGOOGLESEARCHTOP5     19     5.0    0.50  WORTH A FAIR VALUE
KXEARNINGSMENTIONNVDA          19    15.0    1.50  WORTH A FAIR VALUE
KXCPICOREYOY                   19   145.0   14.50  DEAD
KXWNBAWINS                     19   140.0   14.00  DEAD
KXDEBATEMENTION                19    35.0    3.50  DEAD
KXPOKEMON                      19    60.0    6.00  DEAD
KXSOLE                         19    20.0    2.00  UNRESOLVED
KXLIGAPORTUGALSPREAD           19    10.0    1.00  WORTH A FAIR VALUE
KXNFL2QSPREAD                  19    95.0    9.50  DEAD
KXPERFORMBONDSONG              18    25.0    2.50  UNRESOLVED
KXFEDGOVNOM                    18    26.2    2.62  UNRESOLVED
KXNBASIXTH                     18   277.5   27.75  DEAD
KXLIGAPORTUGAL                 18     5.0    0.50  WORTH A FAIR VALUE
KXBELGIANPL                    18   160.0   16.00  DEAD
KXLMTA                         18    45.0    4.50  DEAD
KXSUPERLIG                     18    15.0    1.50  WORTH A FAIR VALUE
KXEKSTRAKLASA                  18    50.0    5.00  DEAD
KXNFLDROTY                     18     5.0    0.50  WORTH A FAIR VALUE
KXRBLX                         18    45.0    4.50  DEAD
KXLUV                          18    30.0    3.00  DEAD
KXDPZ                          18    45.0    4.50  DEAD
KXNCAAF                        18     5.0    0.50  WORTH A FAIR VALUE
KXNFLPRIMETIME                 18    97.5    9.75  DEAD
KXTRAVELDOWNGRADE              18    26.0    2.60  UNRESOLVED
KXTFWORLDRECORD                18    87.5    8.75  DEAD
KXEPSTEINLIST                  18    30.0    3.00  DEAD
KXETHY                         18     3.2    0.33  WORTH A FAIR VALUE
KXVENEZUELALEADER              18     3.0    0.30  WORTH A FAIR VALUE
KXPCECORE                      18    60.0    6.00  DEAD
KXMLBSTATCOUNT                 18    35.0    3.50  DEAD
KXHORMUZWEEKLY                 18    10.0    1.00  WORTH A FAIR VALUE
KXF1TOP10                      18    25.0    2.50  UNRESOLVED
KXSERIEBGAME                   18    40.0    4.00  DEAD
KXCZEFLGAME                    18    35.0    3.50  DEAD
KXSCOTTISHPREMGAME             18    17.5    1.75  UNRESOLVED
KXFINYLGAME                    18    50.0    5.00  DEAD
KXFROPLGAME                    18    50.0    5.00  DEAD
KXASEANTOTAL                   18   405.0   40.50  DEAD
KXUCLTOTAL                     18    30.0    3.00  DEAD
KXEFLCHAMPIONSHIPTOTAL         18     7.5    0.75  WORTH A FAIR VALUE
KXLALIGATEAMTOTAL              18    20.0    2.00  UNRESOLVED
KXLIGAMX1HTOTAL                18    12.5    1.25  WORTH A FAIR VALUE
KXLIGAMX1H                     18    10.0    1.00  WORTH A FAIR VALUE
KXECULPTOTAL                   18    25.0    2.50  UNRESOLVED
KXAPFDDHTOTAL                  18    22.5    2.25  UNRESOLVED
KXSRBSLTOTAL                   18    40.0    4.00  DEAD
KXSUPERLIGTOTAL                18    20.0    2.00  UNRESOLVED
KXSVNPLTOTAL                   18    35.0    3.50  DEAD
KXLIGAEXPTOTAL                 18    40.0    4.00  DEAD
KXGER3LTOTAL                   18    42.5    4.25  DEAD
KXBUNDESLIGA2TOTAL             18    10.0    1.00  WORTH A FAIR VALUE
KXKLEAGUETOTAL                 18     5.0    0.50  WORTH A FAIR VALUE
KXUFCROUNDS                    18     7.5    0.75  WORTH A FAIR VALUE
KXNFLPASSYDS                   18   135.0   13.50  DEAD
KXNFL2QTOTAL                   18    55.0    5.50  DEAD
KXDPWORLDTOUR                  18     3.8    0.38  WORTH A FAIR VALUE
KXNOBELPEACE                   18     5.0    0.50  WORTH A FAIR VALUE
KXPERFORMROLEBPANTHER          17    60.0    6.00  DEAD
KXMMACOMPETE                   17    95.0    9.50  DEAD
KXOSCARNOMSPLAY                17    25.0    2.50  UNRESOLVED
KXEPLRELEGATION                17    25.0    2.50  UNRESOLVED
KXYUMA                         17    35.0    3.50  DEAD
KXULTA                         17    45.0    4.50  DEAD
KXNEXTMANAGERMLB               17    15.0    1.50  WORTH A FAIR VALUE
KXNFLPROOTY                    17    25.0    2.50  UNRESOLVED
KXDUOL                         17    50.0    5.00  DEAD
KXMCD                          17    45.0    4.50  DEAD
KXUAL                          17    50.0    5.00  DEAD
KXRANKLISTFFDST                17   380.0   38.00  DEAD
KXEARNINGSMENTIONCRWD          17    30.0    3.00  DEAD
KXWBCFEATHERWEIGHTTITLE        17   470.0   47.00  DEAD
KXWBCLIGHTWEIGHTTITLE          17   425.0   42.50  DEAD
KXSCFI                         17    65.0    6.50  DEAD
KXNDQDIRY                      17    60.0    6.00  DEAD
KXINXDIRY                      17    50.0    5.00  DEAD
KXTOPSONGTHIRD                 17    20.0    2.00  UNRESOLVED
KXEARNINGSMENTIONDELL          17    35.0    3.50  DEAD
KXEARNINGSMENTIONBULL          17    65.0    6.50  DEAD
KXTRUMPSAYNICKNAME             17    35.0    3.50  DEAD
KXNFLT100TOP                   17    45.0    4.50  DEAD
KXCS2                          17    30.0    3.00  DEAD
KXTRUMPSAYCOMPANY              17    15.0    1.50  WORTH A FAIR VALUE
KXSPEECHAI                     17     5.0    0.50  WORTH A FAIR VALUE
KXFDAAPPROVE                   16    35.0    3.50  DEAD
KXGOVTCUTS                     16     5.0    0.50  WORTH A FAIR VALUE
KXDSENATESEATS                 16     7.0    0.70  WORTH A FAIR VALUE
KXNEXTDEF                      16     9.5    0.95  WORTH A FAIR VALUE
KXPRESMATCHUP                  16     5.5    0.55  WORTH A FAIR VALUE
KXISRAELGOVT                   16    40.0    4.00  DEAD
KXLASTEXAM                     16    35.0    3.50  DEAD
KXNHLEAST                      16    10.0    1.00  WORTH A FAIR VALUE
KXNFLDRAFTTOP                  16   137.5   13.75  DEAD
KXWINGA                        16    35.0    3.50  DEAD
KXDPZA                         16    42.5    4.25  DEAD
KXSPOT                         16    50.0    5.00  DEAD
KXLEADERNFLRUSHTDS             16    45.0    4.50  DEAD
KXLULU                         16    45.0    4.50  DEAD
KXTOPSONGSPOTIFYRUNNERUP       16    12.5    1.25  WORTH A FAIR VALUE
KXEARNINGSMENTIONULTA          16    35.0    3.50  DEAD
KXEARNINGSMENTIONKLAR          16    42.5    4.25  DEAD
KXBRAZILINF                    16     5.0    0.50  WORTH A FAIR VALUE
KXPERFORMSTYLESMSG             16    40.0    4.00  DEAD
KXCAELECTION                   16    30.0    3.00  DEAD
KXSTARTINGQBWEEK1              16    12.5    1.25  WORTH A FAIR VALUE
KXBRASILEIROBSPREAD            16    22.5    2.25  UNRESOLVED
KXCOPPAITALIA1HSPREAD          16   480.0   48.00  DEAD
KXCOPPAITALIAADVANCE           16    30.0    3.00  DEAD
KXNWSLTOTAL                    16    20.0    2.00  UNRESOLVED
KXCHLLDPSPREAD                 16   415.0   41.50  DEAD
KXPERLIGA1SPREAD               16    45.0    4.50  DEAD
KXLALIGA2SPREAD                16    25.0    2.50  UNRESOLVED
KXTFF1LIGSPREAD                16   247.5   24.75  DEAD
KXFROPLSPREAD                  16   470.0   47.00  DEAD
KXBELGIANPLSPREAD              16    27.5    2.75  UNRESOLVED
KXDENSUPERLIGASPREAD           16    27.5    2.75  UNRESOLVED
KXSCOCUPSPREAD                 16    37.5    3.75  DEAD
KXCHNL1SPREAD                  16    60.0    6.00  DEAD
KXK2LEAGUESPREAD               16    65.0    6.50  DEAD
KXNASCARFASTLAP                16    70.0    7.00  DEAD
KXDATABRICKS                   16    35.0    3.50  DEAD
KXRIVNA                        15    50.0    5.00  DEAD
KXGRABA                        15    45.0    4.50  DEAD
KXVENUEPERFORMANCEMSG          15    40.0    4.00  DEAD
KXOPENAIBANKPUBLIC             15    35.0    3.50  DEAD
KXIPOSKIMS                     15    35.0    3.50  DEAD
KXIPOCANVA                     15    35.0    3.50  DEAD
KXANTHROPICBANKPUBLIC          15    30.0    3.00  DEAD
KXOSCARNOMINTERFILM            15    25.0    2.50  UNRESOLVED
KXOSCARNOMASPLAY               15    30.0    3.00  DEAD
KXNBA                          15     5.0    0.50  WORTH A FAIR VALUE
KXNCAALAX                      15   130.0   13.00  DEAD
KXAXPA                         15    45.0    4.50  DEAD
KXNBAWEST1SEED                 15     5.0    0.50  WORTH A FAIR VALUE
KXSBUX                         15    50.0    5.00  DEAD
KXLIVCOMPETE                   15    90.0    9.00  DEAD
KXEARNINGSMENTIONUAL           15    35.0    3.50  DEAD
KXNFLEXECOTY                   15    35.0    3.50  DEAD
KXCAVA                         15    15.0    1.50  WORTH A FAIR VALUE
KXWMT                          15    45.0    4.50  DEAD
KXCRWV                         15    50.0    5.00  DEAD
KXDKNG                         15    45.0    4.50  DEAD
KXYUM                          15    50.0    5.00  DEAD
KXMELI                         15    50.0    5.00  DEAD
KXNFLNFCCHAMP                  15     5.0    0.50  WORTH A FAIR VALUE
RSENATESEATS                   15     5.0    0.50  WORTH A FAIR VALUE
KXLEADERNFLRYDS                15    10.0    1.00  WORTH A FAIR VALUE
KXGOVSENDIFF                   15    30.0    3.00  DEAD
KXRANKLISTFFWR                 15    55.0    5.50  DEAD
KXTRUMPMEETING                 15    40.0    4.00  DEAD
KXSPACEXCOUNT                  15     5.0    0.50  WORTH A FAIR VALUE
KXEARNINGSMENTIONHD            15    20.0    2.00  UNRESOLVED
KXEARNINGSMENTIONDPZ           15    25.0    2.50  UNRESOLVED
KXEARNINGSMENTIONDE            15    50.0    5.00  DEAD
KXEARNINGSMENTIONCCL           15    35.0    3.50  DEAD
KXLOW                          15    40.0    4.00  DEAD
KXNEXTTEAMNHL                  15    60.0    6.00  DEAD
KXFEAR                         15    10.0    1.00  WORTH A FAIR VALUE
KXTRUMPSAYMONTH                15    10.0    1.00  WORTH A FAIR VALUE
KXA100MON                      15    15.0    1.50  WORTH A FAIR VALUE
KXUST30AM                      15    85.0    8.50  DEAD
KXGOVAKPRIMARY                 15     8.5    0.85  WORTH A FAIR VALUE
KXSERIEASPREAD                 15    45.0    4.50  DEAD
KXHNLGAME                      15   330.0   33.00  DEAD
KXCHNSLGAME                    15    30.0    3.00  DEAD
KXETHD                         15    10.0    1.00  WORTH A FAIR VALUE
KXETH                          15    20.0    2.00  UNRESOLVED
KXSILVERW                      15     5.0    0.50  WORTH A FAIR VALUE
KXUST30A                       15    85.0    8.50  DEAD
KXUST10A                       15    95.0    9.50  DEAD
KXLALIGACORNERS                15   470.0   47.00  DEAD
KXDENSUPERLIGAGAME             15     5.0    0.50  WORTH A FAIR VALUE
KXUSDJPY                       15    10.0    1.00  WORTH A FAIR VALUE
KXMLS1HBTTS                    15    20.0    2.00  UNRESOLVED
KXELITESERIENGAME              15     5.0    0.50  WORTH A FAIR VALUE
KXEREDIVISIESPREAD             15    10.0    1.00  WORTH A FAIR VALUE
KXEREDIVISIEWGAME              15    50.0    5.00  DEAD
KXENGCSSCORE                   15    30.0    3.00  DEAD
KXNASCARRACE                   15     5.0    0.50  WORTH A FAIR VALUE
KXOSCARNOMSUPACTR              15    25.0    2.50  UNRESOLVED
KXXISUCCESSOR                  14    14.8    1.48  WORTH A FAIR VALUE
KXNEXTROMANIAPM                14    15.0    1.50  WORTH A FAIR VALUE
KXGTA6SONGS                    14    55.0    5.50  DEAD
ECMOV                          14    20.0    2.00  UNRESOLVED
KXCOPAAMERICA                  14    72.5    7.25  DEAD
KXCVNAA                        14    45.0    4.50  DEAD
KXGOOGA                        14    47.5    4.75  DEAD
KXMUSICREPORT                  14    32.5    3.25  DEAD
KXGRAMMYNOMAOTY                14    22.5    2.25  UNRESOLVED
KXNHLWEST                      14    10.0    1.00  WORTH A FAIR VALUE
KXRBLXA                        14    45.0    4.50  DEAD
KXWING                         14    47.5    4.75  DEAD
KXBRAZILGDP                    14    40.0    4.00  DEAD
KXRECORDNFLWORST               14     5.0    0.50  WORTH A FAIR VALUE
KXDHOUSESEATSDIR               14    35.0    3.50  DEAD
KXEARNINGSMENTIONWMT           14    15.0    1.50  WORTH A FAIR VALUE
KXEARNINGSMENTIONURBN          14    35.0    3.50  DEAD
KXEARNINGSMENTIONTOL           14    27.5    2.75  UNRESOLVED
KXEARNINGSMENTIONTGT           14    25.0    2.50  UNRESOLVED
KXCLOSESTGOVERNOR              14    15.0    1.50  WORTH A FAIR VALUE
KXCLOSESTSENATE                14     5.0    0.50  WORTH A FAIR VALUE
KXEARNINGSMENTIONMRVL          14    47.5    4.75  DEAD
KXTOKENLAUNCH                  14    35.0    3.50  DEAD
KXEARNINGSMENTIONARITZIA       14    32.5    3.25  DEAD
KXECONSTATCPICORE              14    70.0    7.00  DEAD
KXECONSTATCPI                  14   100.0   10.00  DEAD
KXNAMEDSTORM                   14    50.0    5.00  DEAD
KXLEADERMLBDOUBLES             14    45.0    4.50  DEAD
KXUBEREAPP                     14    50.0    5.00  DEAD
KXHORMUZMAX                    14    40.0    4.00  DEAD
KXCPLMATCH                     14   252.5   25.25  DEAD
KXXRP                          14    35.0    3.50  DEAD
KXUST7A                        14    82.5    8.25  DEAD
KXUST2A                        14   100.0   10.00  DEAD
KXCONMEBOLSUDADVANCE           14   150.0   15.00  DEAD
KXCONMEBOLLIBADVANCE           14   222.5   22.25  DEAD
KXBRASILEIRO1HSPREAD           14   480.0   48.00  DEAD
KXUST2AD                       14     5.0    0.50  WORTH A FAIR VALUE
