Non-sports spread census  2026-08-16T00:06:41.541000+00:00
==============================================================================
events: 281 sports, 9888 non-sports
CONTROL median half-spread (sports, median of per-series medians): 10.0 tenths
  from 19 sports series with >= 5 readable markets

series                          n    half   ratio  verdict
KXWT20MATCH                    30   335.0   33.50  DEAD
KXPERLIGA1GAME                 30    27.5    2.75  UNRESOLVED
KXTFF1LIGGAME                  30    47.5    4.75  DEAD
KXEERSTEDIVGAME                30    45.0    4.50  DEAD
KXCOPPERW                      30    20.0    2.00  UNRESOLVED
KXMLSBTTS                      30    20.0    2.00  UNRESOLVED
KXGRECUPGAME                   30   390.0   39.00  DEAD
KXLIGAPORTUGALTOTAL            30    10.0    1.00  WORTH A FAIR VALUE
KXDIMAYORTOTAL                 30   187.5   18.75  DEAD
KXARGPREMDIVTOTAL              30    15.0    1.50  WORTH A FAIR VALUE
KXEKSTRAKLASATOTAL             30    35.0    3.50  DEAD
KXELITESERIENTOTAL             30    10.0    1.00  WORTH A FAIR VALUE
KXALLSVENSKANTOTAL             30    10.0    1.00  WORTH A FAIR VALUE
KXHOUSEWINSTATE                29    25.0    2.50  UNRESOLVED
KXLIGAMX                       29    15.0    1.50  WORTH A FAIR VALUE
KXMUSKNW                       29    65.0    6.50  DEAD
KXGOLDMON                      29    10.0    1.00  WORTH A FAIR VALUE
KXSILVERD                      29    15.0    1.50  WORTH A FAIR VALUE
KXMLS1HSPREAD                  29    10.0    1.00  WORTH A FAIR VALUE
KXMOVIECAST                    28   125.0   12.50  DEAD
KXFRENCHPRES                   28     5.2    0.53  WORTH A FAIR VALUE
KXNCAAFSEED                    28   202.5   20.25  DEAD
KXNCAAFCOTY                    28     5.0    0.50  WORTH A FAIR VALUE
KXIPO                          28    17.5    1.75  UNRESOLVED
KXBTCY                         28     1.5    0.15  WORTH A FAIR VALUE
KXADP                          28    25.0    2.50  UNRESOLVED
KXCOLLEGEGAMEDAY               28    47.5    4.75  DEAD
KXH200MON                      28    80.0    8.00  DEAD
KXCOPPERMON                    28     5.0    0.50  WORTH A FAIR VALUE
KXBTC                          28    10.0    1.00  WORTH A FAIR VALUE
KXBRASILEIROCSPREAD            28   395.0   39.50  DEAD
KXNFL2HTOTAL                   28    67.5    6.75  DEAD
KXMEDIAGUESTFALLON             27    85.0    8.50  DEAD
KXNASDAQ100Y                   27     5.0    0.50  WORTH A FAIR VALUE
KXCOACHOUTMLB                  27    80.0    8.00  DEAD
KXTRUMPMENTION                 27    15.0    1.50  WORTH A FAIR VALUE
KXURYPDGAME                    27    35.0    3.50  DEAD
KXECULPGAME                    27    15.0    1.50  WORTH A FAIR VALUE
KXBELGIANPLGAME                27    20.0    2.00  UNRESOLVED
KXEKSTRAKLASAGAME              27    45.0    4.50  DEAD
KXSAUDIPLGAME                  27    40.0    4.00  DEAD
KXSVK2LGAME                    27   385.0   38.50  DEAD
KXCHNL1GAME                    27   390.0   39.00  DEAD
KXJLEAGUEGAME                  27    20.0    2.00  UNRESOLVED
KXLALIGASCORE                  27    35.0    3.50  DEAD
KXWNBA3PT                      27   330.0   33.00  DEAD
KXNFL1HSPREAD                  27   170.0   17.00  DEAD
KXNFLRETIRE                    26    97.5    9.75  DEAD
KXNBARECORD                    26    20.0    2.00  UNRESOLVED
KXNFLDPOTY                     26     5.0    0.50  WORTH A FAIR VALUE
KXNFLGAMESPECIALS              26   475.0   47.50  DEAD
KXDWTSCAST                     26    77.5    7.75  DEAD
KXGOLDW                        26     5.0    0.50  WORTH A FAIR VALUE
KXGOLDD                        26    15.0    1.50  WORTH A FAIR VALUE
KXNASCARTOP5                   26    27.5    2.75  UNRESOLVED
KXPRESPERSON                   25     1.0    0.10  WORTH A FAIR VALUE
KXRTICKET                      25     9.0    0.90  WORTH A FAIR VALUE
KXDTICKET                      25    10.0    1.00  WORTH A FAIR VALUE
KXLEADERNFLRTDS                25    15.0    1.50  WORTH A FAIR VALUE
KXNCAAFB12REGTOP               25   200.0   20.00  DEAD
KXOSCARNOMACTR                 25    25.0    2.50  UNRESOLVED
KXKXMEDIAGUESTTINYDESK         25    80.0    8.00  DEAD
KXWHVISIT                      25    38.0    3.80  DEAD
KXTIME                         25     5.0    0.50  WORTH A FAIR VALUE
KXCPIYOY                       25   140.0   14.00  DEAD
KXCPI                          25   160.0   16.00  DEAD
KXMLBPLAYOFFS                  25    10.0    1.00  WORTH A FAIR VALUE
KXUST10AM                      25    75.0    7.50  DEAD
KXU3MAX                        24    17.8    1.77  UNRESOLVED
KXNEXTPRESSEC                  24     5.0    0.50  WORTH A FAIR VALUE
KXDECLAREPRESFIRSTD            24     5.0    0.50  WORTH A FAIR VALUE
KXPRESOUTCOME                  24    10.0    1.00  WORTH A FAIR VALUE
KXSCOTUSCASE                   24    40.0    4.00  DEAD
KXNCAAFJOINCONF                24    55.0    5.50  DEAD
KXDUOLA                        24    50.0    5.00  DEAD
KXFACUP                        24     5.0    0.50  WORTH A FAIR VALUE
KXEFLCHAMPIONSHIP              24     5.0    0.50  WORTH A FAIR VALUE
KXMETA                         24    50.0    5.00  DEAD
KXRECORDNFLBEST                24     5.0    0.50  WORTH A FAIR VALUE
KXRANKLISTFFQB                 24    47.5    4.75  DEAD
KXHEISMAN                      24     5.0    0.50  WORTH A FAIR VALUE
KXARREST                       24    12.5    1.25  WORTH A FAIR VALUE
KXACQANNOUNCEANNUAL            24    30.0    3.00  DEAD
KXHURRICANE                    24    45.0    4.50  DEAD
KXINDYCARRACE                  24     5.0    0.50  WORTH A FAIR VALUE
KXNWSLGAME                     24    32.5    3.25  DEAD
KXSERIEATOTAL                  24    37.5    3.75  DEAD
KXLIGUE1SPREAD                 24    70.0    7.00  DEAD
KXEREDIVISIEGAME               24    15.0    1.50  WORTH A FAIR VALUE
KXSUPERLIGGAME                 24    25.0    2.50  UNRESOLVED
KXLIGUE2GAME                   24   217.5   21.75  DEAD
KXEPLSPREAD                    24    20.0    2.00  UNRESOLVED
KXTWEEDEDIVGAME                24   390.0   39.00  DEAD
KXALLSVENSKANGAME              24     5.0    0.50  WORTH A FAIR VALUE
KXK2LEAGUEGAME                 24    40.0    4.00  DEAD
KXRUGBYNRLMATCH                24   342.5   34.25  DEAD
KXINX                          24    20.0    2.00  UNRESOLVED
KXSOLD                         24    15.0    1.50  WORTH A FAIR VALUE
KXCZEFNLGAME                   24   387.5   38.75  DEAD
KXCONMEBOLSUDGAME              24    30.0    3.00  DEAD
KXCONMEBOLLIBGAME              24    25.0    2.50  UNRESOLVED
KXUECLBTTS                     24   325.0   32.50  DEAD
KXBRASILEIROBTOTAL             24    20.0    2.00  UNRESOLVED
KXWNBA2HWINNER                 24   322.5   32.25  DEAD
KXWNBA1HWINNER                 24   260.0   26.00  DEAD
KXTITLEDTUESDAY                24   135.0   13.50  DEAD
KXISRNLGAME                    24   390.0   39.00  DEAD
KXNPBGAME                      24    62.5    6.25  DEAD
KXBRASILEIRO1HTOTAL            24    17.5    1.75  UNRESOLVED
KXBRASILEIROFTTS               24   225.0   22.50  DEAD
KXBRASILEIRO1H                 24    20.0    2.00  UNRESOLVED
KXCOPPAITALIA1HTOTAL           24    30.0    3.00  DEAD
KXCOPPAITALIAGAME              24    10.0    1.00  WORTH A FAIR VALUE
KXCOPPAITALIA1H                24    25.0    2.50  UNRESOLVED
KXCHLLDPTOTAL                  24    20.0    2.00  UNRESOLVED
KXARGNACBSPREAD                24   390.0   39.00  DEAD
KXPERLIGA1TOTAL                24    20.0    2.00  UNRESOLVED
KXLALIGA2TOTAL                 24    17.5    1.75  UNRESOLVED
KXTFF1LIGTOTAL                 24    35.0    3.50  DEAD
KXSERIECCUPADVANCE             24   385.0   38.50  DEAD
KXINDYCARTOP5                  24   250.0   25.00  DEAD
KXFROPLTOTAL                   24   410.0   41.00  DEAD
KXBELGIANPLTOTAL               24    20.0    2.00  UNRESOLVED
KXDENSUPERLIGATOTAL            24    15.0    1.50  WORTH A FAIR VALUE
KXSCOCUPTOTAL                  24    25.0    2.50  UNRESOLVED
